place_id,name,area,town,latitude,longitude,concept,price_tier,rating,reviews_count,high_rating,log_reviews,weekly_hours,dist_centre_km,log_density,is_claimed,own_website,social_page_only,has_phone,has_menu_link,online_ordering,has_attributes,table_service,delivery,takes_reservations,restroom,wifi,free_parking,kid_friendly,outdoor_seating,wheelchair_access,card_payments,digital_payments,open_late,opens_early,has_hours,is_chain,veg_only
ChIJeSaVhhxZqDsRc9M28wctLGA,H2B Biriyani,Koundampalayam,Coimbatore,11.045236,76.947473,Biryani & Non-veg,Not disclosed,3.4,285,0,5.655991810819852,87.6,5.832042748961417,4.174387269895637,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJ2YZaA0RZqDsRBSq-Qb0aXR8,Ajmeer Biriyani Center,TVS Nagar,Coimbatore,11.04365,76.924172,Biryani & Non-veg,Not disclosed,3.9,111,0,4.718498871295094,77.0,6.801271233014327,4.189654742026425,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJv9Wd-iFZqDsRjzWj0dcyKVw,Mammus Biryani,Koundampalayam,Coimbatore,11.04705,76.928189,Biryani & Non-veg,Budget,4.3,18,1,2.9444389791664403,51.0,6.866829703576842,4.02535169073515,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ChIJ86J019T3qDsRQL3Fq5Nz9xI,Vanitha Messs,Koundampalayam,Coimbatore,11.059223,76.944239,Multi-cuisine / General,Not disclosed,4.2,13,1,2.639057329615259,98.78333333333333,7.425838273120427,3.5553480614894135,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJNfuo-_9ZqDsRnEVjmiG8XX0,Meera bai biriyani hotal,Koundampalayam,Coimbatore,11.036203,76.93705,Biryani & Non-veg,Budget,4.6,14,1,2.70805020110221,54.0,5.335138107820355,3.784189633918261,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ChIJGVMPNABZqDsRXNizZWBs1Zc,Kumar Mess,Koundampalayam,Coimbatore,11.044931,76.942084,Multi-cuisine / General,Not disclosed,4.9,14,1,2.70805020110221,87.0,5.980473139193844,4.110873864173311,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJzTGoA1xZqDsRMerccuCDxic,Valli Mess,Koundampalayam,Coimbatore,11.044578,76.948016,Multi-cuisine / General,Not disclosed,4.2,17,1,2.8903717578961645,87.0,5.746085530816448,4.1588830833596715,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ0dLjjZlYqDsRBee3w5KK82Q,Ramasamy Canteen,Koundampalayam,Coimbatore,11.047737,76.946917,Multi-cuisine / General,Not disclosed,4.2,91,1,4.5217885770490405,96.0,6.1163599246255025,4.1588830833596715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJYYpav1ZZqDsRWX0-FjAgMDU,Happy home food,Sanganoor,Coimbatore,11.039498,76.953055,Biryani & Non-veg,Mid,3.7,17,0,2.8903717578961645,112.0,5.074834897011818,4.1588830833596715,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
ChIJyR2S8blYqDsRUQKVT8CU86g,Amutha Surabhi,Edayarpalayam,Coimbatore,11.039811,76.925623,South Indian & Regional,Not disclosed,3.6,1544,0,7.3427791893318455,115.5,6.365637118902243,4.394449154672439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
